"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","TOTAL","XPAR","XIMPAR","DIFERENCIA_PAR_IMPAR"
4,4,2,4,4,3,3,4,3,3,34.0,18,16,2.0
3,3,2,3,3,2,2,3,4,3,28.0,14,14,0.0
2,3,3,3,3,2,3,2,2,3,26.0,13,13,0.0
4,4,3,4,4,3,3,3,2,4,34.0,18,16,2.0
4,4,2,3,3,3,2,3,3,2,29.0,15,14,1.0
4,3,2,3,3,3,4,3,3,2,30.0,14,16,-2.0
4,3,2,3,3,4,4,4,4,3,34.0,17,17,0.0
4,4,3,4,4,4,3,3,3,2,34.0,17,17,0.0
3,2,2,3,2,3,2,3,3,3,26.0,14,12,2.0
3,3,2,3,3,2,2,3,2,3,26.0,14,12,2.0
4,3,4,3,4,4,4,4,3,3,36.0,17,19,-2.0
3,3,3,4,3,4,3,3,2,3,31.0,17,14,3.0
3,3,3,3,4,4,3,4,3,4,34.0,18,16,2.0
1,2,2,3,3,3,3,3,3,3,26.0,14,12,2.0
4,4,3,4,3,3,3,3,3,4,34.0,18,16,2.0
1,4,4,3,4,4,4,4,3,3,34.0,18,16,2.0
2,3,3,3,3,3,3,3,3,3,29.0,15,14,1.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
4,3,2,3,3,4,3,4,3,3,32.0,17,15,2.0
3,4,4,4,3,3,3,3,3,2,32.0,16,16,0.0
3,4,4,4,3,2,3,3,3,3,32.0,16,16,0.0
3,2,2,3,2,2,2,3,3,3,25.0,13,12,1.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
4,4,2,4,3,3,4,4,3,3,34.0,18,16,2.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
4,4,3,4,3,3,4,2,3,2,32.0,15,17,-2.0
3,3,2,3,3,3,3,3,3,3,29.0,15,14,1.0
4,3,3,3,3,4,3,3,3,3,32.0,16,16,0.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
3,4,3,3,3,3,3,3,3,3,31.0,16,15,1.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
2,3,2,3,4,2,3,2,2,2,25.0,12,13,-1.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
4,4,4,4,4,4,3,3,3,3,36.0,18,18,0.0
4,4,3,3,3,4,3,3,3,3,33.0,17,16,1.0
3,4,3,3,4,4,4,3,3,2,33.0,16,17,-1.0
4,4,3,9,3,3,3,3,2,3,,,15,
3,3,3,3,4,2,3,2,3,9,,,16,
4,3,2,3,3,3,3,4,2,2,29.0,15,14,1.0
3,3,2,2,3,3,2,2,3,3,26.0,13,13,0.0
3,3,2,3,2,4,2,3,2,4,28.0,17,11,6.0
3,3,3,3,2,2,2,3,3,2,26.0,13,13,0.0
4,3,3,4,3,4,3,3,4,3,34.0,17,17,0.0
3,3,2,3,3,3,3,3,3,2,28.0,14,14,0.0
4,3,2,3,3,3,3,3,2,2,28.0,14,14,0.0
3,3,2,3,3,3,3,2,3,3,28.0,14,14,0.0
4,4,3,3,4,4,4,3,3,3,35.0,17,18,-1.0
4,4,3,3,4,4,4,4,3,3,36.0,18,18,0.0
4,4,4,4,4,4,4,4,4,4,40.0,20,20,0.0
4,3,3,3,2,3,3,2,2,2,27.0,13,14,-1.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
3,3,2,3,3,3,3,3,3,2,28.0,14,14,0.0
3,3,2,3,3,3,3,3,3,3,29.0,15,14,1.0
3,3,3,4,3,2,2,3,2,2,27.0,14,13,1.0
4,4,2,3,4,3,2,3,4,2,31.0,15,16,-1.0
4,3,3,3,3,3,3,3,3,3,31.0,15,16,-1.0
4,3,3,3,4,4,4,4,3,3,35.0,17,18,-1.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
3,3,3,3,3,3,3,3,3,4,31.0,16,15,1.0
3,3,3,3,2,3,2,3,3,2,27.0,14,13,1.0
4,4,3,4,4,3,3,4,4,3,36.0,18,18,0.0
4,4,3,4,4,4,3,4,4,4,38.0,20,18,2.0
4,3,2,3,3,2,3,2,2,2,26.0,12,14,-2.0
4,4,3,4,3,3,3,3,2,2,31.0,16,15,1.0
4,4,4,4,4,3,4,4,3,4,38.0,19,19,0.0
4,4,4,4,4,4,4,4,4,4,40.0,20,20,0.0
3,3,3,4,3,3,4,3,3,2,31.0,15,16,-1.0
4,3,3,3,2,3,2,3,3,2,28.0,14,14,0.0
3,3,3,3,3,2,3,3,2,3,28.0,14,14,0.0
4,4,4,4,4,4,4,4,4,4,40.0,20,20,0.0
3,4,3,4,4,3,3,3,3,3,33.0,17,16,1.0
3,3,2,3,3,3,3,3,3,2,28.0,14,14,0.0
3,3,3,3,3,2,3,2,3,2,27.0,12,15,-3.0
3,3,2,3,3,3,3,2,3,3,28.0,14,14,0.0
4,4,3,3,3,3,3,3,2,2,30.0,15,15,0.0
4,3,3,3,4,3,3,4,3,3,33.0,16,17,-1.0
4,4,3,4,4,4,4,4,3,3,37.0,19,18,1.0
4,4,4,4,4,4,4,4,4,4,40.0,20,20,0.0
3,4,3,3,4,3,4,3,3,4,34.0,17,17,0.0
3,4,4,4,4,3,3,2,3,3,33.0,16,17,-1.0
4,4,3,4,4,4,2,3,3,3,34.0,18,16,2.0
4,4,3,4,3,3,3,3,2,3,32.0,17,15,2.0
3,3,2,4,4,4,3,3,3,2,31.0,16,15,1.0
4,4,3,4,3,3,3,3,4,9,,,17,
3,4,3,3,4,2,3,4,2,3,31.0,16,15,1.0
4,4,3,4,3,3,3,3,3,3,33.0,17,16,1.0
4,4,3,4,4,4,4,3,3,4,37.0,19,18,1.0
4,3,3,3,3,3,2,3,2,3,29.0,15,14,1.0
2,3,9,3,3,3,3,2,2,1,,,,
3,3,3,4,3,3,2,4,4,4,33.0,18,15,3.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
4,4,3,4,4,4,4,3,3,2,35.0,17,18,-1.0
4,3,3,3,3,4,4,4,2,4,34.0,18,16,2.0
2,3,3,2,3,2,3,2,3,2,25.0,11,14,-3.0
4,3,3,3,3,3,3,3,3,3,31.0,15,16,-1.0
3,3,3,3,3,3,3,4,3,3,31.0,16,15,1.0
3,3,3,3,4,3,3,3,3,4,32.0,16,16,0.0
3,4,3,3,3,4,3,3,4,4,34.0,18,16,2.0
3,3,3,2,3,3,3,4,3,3,30.0,15,15,0.0
4,4,3,4,4,3,2,4,3,3,34.0,18,16,2.0
3,3,2,9,3,2,3,2,3,3,,,14,
4,4,3,3,9,4,3,4,3,3,,,,
4,3,2,3,3,3,4,3,2,2,29.0,14,15,-1.0
3,3,1,3,3,3,3,2,3,2,26.0,13,13,0.0
3,2,3,3,2,3,4,3,4,3,30.0,14,16,-2.0
3,3,3,3,3,4,4,2,3,3,31.0,15,16,-1.0
2,3,2,3,3,2,3,2,3,1,24.0,11,13,-2.0
3,3,3,3,4,3,4,2,3,2,30.0,13,17,-4.0
4,9,3,4,4,4,4,3,3,3,,,18,
4,3,3,4,3,3,3,3,3,3,32.0,16,16,0.0
3,3,3,3,4,3,3,3,3,3,31.0,15,16,-1.0
4,4,3,4,4,4,4,4,4,3,38.0,19,19,0.0
3,3,2,3,3,3,3,3,2,2,27.0,14,13,1.0
4,4,3,4,4,4,4,4,3,4,38.0,20,18,2.0
3,3,2,3,3,4,3,3,3,2,29.0,15,14,1.0
4,4,4,4,3,3,3,3,3,2,33.0,16,17,-1.0
4,4,3,3,3,4,3,3,4,3,34.0,17,17,0.0
4,4,3,4,4,4,4,4,3,3,37.0,19,18,1.0
4,4,3,4,4,4,4,4,4,4,39.0,20,19,1.0
4,4,3,4,4,4,4,4,4,4,39.0,20,19,1.0
4,3,2,3,3,3,3,3,3,2,29.0,14,15,-1.0
4,4,4,3,4,4,1,3,2,3,32.0,17,15,2.0
3,2,3,2,3,2,3,3,2,3,26.0,12,14,-2.0
4,4,3,4,3,4,3,4,3,3,35.0,19,16,3.0
3,3,3,3,3,2,2,3,3,2,27.0,13,14,-1.0
4,4,3,3,4,4,3,4,4,3,36.0,18,18,0.0
4,4,4,4,3,3,4,4,3,3,36.0,18,18,0.0
1,4,3,3,3,3,4,4,4,3,32.0,17,15,2.0
4,4,3,4,4,4,4,3,4,4,38.0,19,19,0.0
4,4,4,3,4,4,3,3,3,4,36.0,18,18,0.0
4,4,3,4,4,4,4,4,3,3,37.0,19,18,1.0
4,3,3,3,3,4,4,4,3,3,34.0,17,17,0.0
3,4,3,4,3,4,2,3,3,4,33.0,19,14,5.0
4,4,4,4,4,4,4,4,3,4,39.0,20,19,1.0
3,3,2,3,2,3,4,3,3,3,29.0,15,14,1.0
4,4,4,4,4,4,4,4,4,4,40.0,20,20,0.0
4,4,4,4,4,4,4,4,4,4,40.0,20,20,0.0
4,3,2,3,4,4,3,3,3,2,31.0,15,16,-1.0
4,3,3,3,4,3,3,4,3,3,33.0,16,17,-1.0
4,4,3,4,3,3,3,3,4,3,34.0,17,17,0.0
4,4,3,4,4,4,4,4,4,3,38.0,19,19,0.0
4,4,3,4,4,3,3,3,3,3,34.0,17,17,0.0
4,3,4,3,4,4,4,4,3,3,36.0,17,19,-2.0
4,4,3,3,3,3,3,3,3,4,33.0,17,16,1.0
4,4,3,4,3,3,4,3,3,4,35.0,18,17,1.0
3,3,4,4,3,3,3,4,4,4,35.0,18,17,1.0
4,4,4,4,4,4,3,4,4,3,38.0,19,19,0.0
4,3,3,4,4,4,4,4,3,4,37.0,19,18,1.0
4,3,2,3,3,3,3,4,3,2,30.0,15,15,0.0
3,3,2,4,4,9,3,3,3,2,,,15,
4,3,3,3,3,3,3,3,3,4,32.0,16,16,0.0
4,3,3,3,3,4,3,4,3,3,33.0,17,16,1.0
4,3,3,2,2,3,3,2,2,4,28.0,14,14,0.0
3,3,4,4,3,3,2,4,4,4,34.0,18,16,2.0
4,4,3,4,4,4,4,4,4,4,39.0,20,19,1.0
4,4,4,4,4,4,4,4,3,4,39.0,20,19,1.0
3,3,2,4,3,3,4,3,3,2,30.0,15,15,0.0
4,4,3,4,4,4,4,4,4,3,38.0,19,19,0.0
3,3,2,2,3,3,3,3,3,2,27.0,13,14,-1.0
4,4,4,4,3,4,4,4,3,4,38.0,20,18,2.0
4,3,3,3,2,3,2,3,3,3,29.0,15,14,1.0
4,4,4,4,4,4,4,4,4,4,40.0,20,20,0.0
3,4,3,4,3,4,4,3,3,2,33.0,17,16,1.0
4,4,4,4,4,4,4,3,4,3,38.0,18,20,-2.0
4,3,3,4,3,3,4,3,3,2,32.0,15,17,-2.0
1,3,3,4,3,3,2,1,3,3,26.0,14,12,2.0
3,3,2,3,3,3,4,3,4,2,30.0,14,16,-2.0
4,3,3,3,3,3,2,4,3,3,31.0,16,15,1.0
2,3,3,3,2,2,3,2,2,1,23.0,11,12,-1.0
4,3,2,3,3,3,2,3,2,2,27.0,14,13,1.0
4,4,2,4,3,3,2,4,3,1,30.0,16,14,2.0
1,3,2,3,4,3,3,3,3,3,28.0,15,13,2.0
4,4,3,4,4,4,4,3,3,3,36.0,18,18,0.0
4,4,4,4,4,4,4,4,4,4,40.0,20,20,0.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
4,4,3,4,4,4,3,3,3,3,35.0,18,17,1.0
4,4,3,4,4,4,4,4,4,4,39.0,20,19,1.0
3,3,3,3,2,2,3,2,3,3,27.0,13,14,-1.0
3,3,2,9,3,3,3,3,2,2,,,13,
4,4,3,4,3,3,3,3,3,9,,,16,
4,4,3,3,3,4,4,3,3,3,34.0,17,17,0.0
4,3,3,3,2,3,3,3,3,3,30.0,15,15,0.0
4,3,2,4,4,4,2,3,4,3,33.0,17,16,1.0
3,3,3,3,3,4,3,4,3,3,32.0,17,15,2.0
1,2,2,2,2,2,2,2,2,3,20.0,11,9,2.0
4,3,3,3,3,3,3,4,2,2,30.0,15,15,0.0
4,4,4,4,4,3,3,4,4,3,37.0,18,19,-1.0
4,3,3,3,3,3,3,3,9,9,,,,
4,4,2,3,3,3,4,3,2,3,31.0,16,15,1.0
4,4,4,4,4,4,4,4,3,4,39.0,20,19,1.0
3,3,3,3,3,3,3,2,2,2,27.0,13,14,-1.0
4,3,3,3,4,4,4,2,3,1,31.0,13,18,-5.0
3,3,2,3,3,4,3,3,3,3,30.0,16,14,2.0
4,3,2,3,3,3,3,3,3,2,29.0,14,15,-1.0
4,3,4,3,4,4,3,4,3,4,36.0,18,18,0.0
2,1,1,2,2,4,1,2,2,1,18.0,10,8,2.0
4,4,2,3,3,3,4,3,3,2,31.0,15,16,-1.0
4,3,2,3,4,3,3,4,3,3,32.0,16,16,0.0
2,3,3,3,3,3,3,3,3,3,29.0,15,14,1.0
4,4,3,4,3,3,3,3,3,3,33.0,17,16,1.0
4,4,4,4,4,4,4,4,4,3,39.0,19,20,-1.0
3,3,3,3,3,2,2,3,3,3,28.0,14,14,0.0
4,4,3,4,4,4,4,3,4,9,,,19,
3,3,2,3,3,3,3,3,3,3,29.0,15,14,1.0
4,4,3,4,4,4,4,4,4,4,39.0,20,19,1.0
1,3,9,2,2,1,2,2,1,1,,,,
4,4,3,3,4,4,4,3,3,3,35.0,17,18,-1.0
4,3,3,3,3,3,3,3,3,2,30.0,14,16,-2.0
4,3,3,3,3,3,2,2,3,3,29.0,14,15,-1.0
4,3,3,3,3,4,2,3,3,3,31.0,16,15,1.0
3,3,3,3,3,3,3,3,3,2,29.0,14,15,-1.0
4,4,2,4,4,3,3,3,3,9,,,16,
3,4,3,3,3,4,3,3,2,3,31.0,17,14,3.0
2,2,2,3,2,2,2,2,2,2,21.0,11,10,1.0
4,4,2,4,4,2,3,3,3,3,32.0,16,16,0.0
4,4,2,4,4,4,2,3,9,2,,,,
3,2,2,3,3,3,3,3,2,2,26.0,13,13,0.0
3,3,3,3,3,3,3,3,3,3,30.0,15,15,0.0
4,3,3,3,3,3,2,3,3,3,30.0,15,15,0.0
4,4,3,4,4,4,4,4,4,3,38.0,19,19,0.0
4,4,3,4,4,3,4,3,4,3,36.0,17,19,-2.0
4,3,2,3,4,3,3,3,4,3,32.0,15,17,-2.0
1,1,1,1,1,1,1,1,1,1,10.0,5,5,0.0
3,3,3,4,4,3,3,2,2,2,29.0,14,15,-1.0
4,3,3,2,3,3,3,3,3,2,29.0,13,16,-3.0
4,4,4,4,4,4,4,3,4,9,,,20,
3,3,2,2,3,2,3,3,3,3,27.0,13,14,-1.0
3,3,2,2,3,3,2,4,3,2,27.0,14,13,1.0
3,2,2,3,3,3,2,2,2,2,24.0,12,12,0.0
3,2,1,2,2,3,2,4,3,3,25.0,14,11,3.0
3,3,2,3,3,3,2,3,3,2,27.0,14,13,1.0
4,4,3,3,4,4,4,3,3,3,35.0,17,18,-1.0
4,4,4,4,4,4,4,4,4,3,39.0,19,20,-1.0
3,3,2,3,3,3,2,3,3,1,26.0,13,13,0.0
3,4,3,4,3,4,3,3,2,3,32.0,18,14,4.0
4,3,3,3,2,3,2,3,2,3,28.0,15,13,2.0
4,4,3,3,3,4,4,4,4,3,36.0,18,18,0.0
3,3,3,3,3,2,3,2,2,2,26.0,12,14,-2.0
4,3,4,4,3,3,3,3,3,2,32.0,15,17,-2.0
4,3,3,4,3,3,3,3,2,3,31.0,16,15,1.0
3,3,2,3,3,4,4,3,3,3,31.0,16,15,1.0
3,3,2,3,3,3,2,3,3,2,27.0,14,13,1.0
3,3,3,3,4,2,3,2,3,3,29.0,13,16,-3.0
4,3,3,3,9,9,3,9,3,3,,,,
3,3,3,3,2,3,3,3,2,3,28.0,15,13,2.0
3,3,3,3,4,4,3,4,3,3,33.0,17,16,1.0
4,4,3,4,4,3,4,4,3,3,36.0,18,18,0.0
4,3,3,3,3,3,4,3,2,3,31.0,15,16,-1.0
3,3,3,4,4,4,4,3,4,3,35.0,17,18,-1.0
4,4,3,4,4,4,3,4,4,4,38.0,20,18,2.0
3,3,3,3,3,3,4,3,3,3,31.0,15,16,-1.0
4,3,3,4,4,3,3,3,3,3,33.0,16,17,-1.0
3,3,2,4,4,2,3,3,3,2,29.0,14,15,-1.0
3,3,3,4,4,3,3,2,2,2,29.0,14,15,-1.0
3,3,2,3,2,2,2,3,2,2,24.0,13,11,2.0
3,2,2,2,9,3,2,3,3,3,,,,
3,3,1,2,3,2,3,2,2,2,23.0,11,12,-1.0
4,3,3,4,3,4,4,3,3,3,34.0,17,17,0.0
3,3,2,3,3,3,2,3,3,1,26.0,13,13,0.0
3,1,3,3,3,3,4,2,3,9,,,16,
3,4,3,3,3,3,2,3,3,3,30.0,16,14,2.0
4,4,4,4,4,4,4,4,4,4,40.0,20,20,0.0
4,4,3,3,2,3,3,4,3,2,31.0,16,15,1.0
4,3,2,2,3,3,9,9,3,3,,,,
4,4,3,4,3,4,4,4,4,4,38.0,20,18,2.0
4,4,4,4,4,4,4,4,4,4,40.0,20,20,0.0
4,3,3,3,3,4,4,4,3,4,35.0,18,17,1.0
4,3,2,3,3,4,3,4,3,2,31.0,16,15,1.0
4,3,2,3,2,3,3,4,3,2,29.0,15,14,1.0
2,3,3,3,2,3,2,3,3,2,26.0,14,12,2.0
3,3,3,3,3,4,4,3,3,3,32.0,16,16,0.0
