"x1","x2","x3","x4","x5","PT"
4,4,2,4,4,18
3,3,2,3,3,14
2,3,3,3,3,14
4,4,3,4,4,19
4,4,2,3,3,16
4,3,2,3,3,15
4,3,2,3,3,15
4,4,3,4,4,19
3,2,2,3,2,12
3,3,2,3,3,14
4,3,4,3,4,18
3,3,3,4,3,16
3,3,3,3,4,16
1,2,2,3,3,11
4,4,3,4,3,18
1,4,4,3,4,16
2,3,3,3,3,14
3,3,3,3,3,15
4,3,2,3,3,15
3,4,4,4,3,18
3,4,4,4,3,18
3,2,2,3,2,12
3,3,3,3,3,15
4,4,2,4,3,17
3,3,3,3,3,15
4,4,3,4,3,18
3,3,2,3,3,14
4,3,3,3,3,16
3,3,3,3,3,15
3,4,3,3,3,16
3,3,3,3,3,15
2,3,2,3,4,14
3,3,3,3,3,15
4,4,4,4,4,20
4,4,3,3,3,17
3,4,3,3,4,17
4,3,2,3,3,15
3,3,2,2,3,13
3,3,2,3,2,13
3,3,3,3,2,14
4,3,3,4,3,17
3,3,2,3,3,14
4,3,2,3,3,15
3,3,2,3,3,14
4,4,3,3,4,18
4,4,3,3,4,18
4,4,4,4,4,20
4,3,3,3,2,15
3,3,3,3,3,15
3,3,2,3,3,14
3,3,2,3,3,14
3,3,3,4,3,16
4,4,2,3,4,17
4,3,3,3,3,16
4,3,3,3,4,17
3,3,3,3,3,15
3,3,3,3,3,15
3,3,3,3,2,14
4,4,3,4,4,19
4,4,3,4,4,19
4,3,2,3,3,15
4,4,3,4,3,18
4,4,4,4,4,20
4,4,4,4,4,20
3,3,3,4,3,16
4,3,3,3,2,15
3,3,3,3,3,15
4,4,4,4,4,20
3,4,3,4,4,18
3,3,2,3,3,14
3,3,3,3,3,15
3,3,2,3,3,14
4,4,3,3,3,17
4,3,3,3,4,17
4,4,3,4,4,19
4,4,4,4,4,20
3,4,3,3,4,17
3,4,4,4,4,19
4,4,3,4,4,19
4,4,3,4,3,18
3,3,2,4,4,16
3,4,3,3,4,17
4,4,3,4,3,18
4,4,3,4,4,19
4,3,3,3,3,16
3,3,3,4,3,16
3,3,3,3,3,15
4,4,3,4,4,19
4,3,3,3,3,16
2,3,3,2,3,13
4,3,3,3,3,16
3,3,3,3,3,15
3,3,3,3,4,16
3,4,3,3,3,16
3,3,3,2,3,14
4,4,3,4,4,19
4,3,2,3,3,15
3,3,1,3,3,13
3,2,3,3,2,13
3,3,3,3,3,15
2,3,2,3,3,13
3,3,3,3,4,16
4,3,3,4,3,17
3,3,3,3,4,16
4,4,3,4,4,19
3,3,2,3,3,14
4,4,3,4,4,19
3,3,2,3,3,14
4,4,4,4,3,19
4,4,3,3,3,17
4,4,3,4,4,19
4,4,3,4,4,19
4,4,3,4,4,19
4,3,2,3,3,15
4,4,4,3,4,19
3,2,3,2,3,13
4,4,3,4,3,18
3,3,3,3,3,15
4,4,3,3,4,18
4,4,4,4,3,19
1,4,3,3,3,14
4,4,3,4,4,19
4,4,4,3,4,19
4,4,3,4,4,19
4,3,3,3,3,16
3,4,3,4,3,17
4,4,4,4,4,20
3,3,2,3,2,13
4,4,4,4,4,20
4,4,4,4,4,20
4,3,2,3,4,16
4,3,3,3,4,17
4,4,3,4,3,18
4,4,3,4,4,19
4,4,3,4,4,19
4,3,4,3,4,18
4,4,3,3,3,17
4,4,3,4,3,18
3,3,4,4,3,17
4,4,4,4,4,20
